idx,scale/m,translate_x/m,translate_y/m,translate_z/m,rotate/deg,airfoil
1,0.099129967,0.07874,0,0,36.103446,airfoil1_sharp.csv
2,0.102713624,0.085898182,0,0,34.103604,airfoil1_sharp.csv
3,0.106233266,0.093056364,0,0,32.209494,airfoil1_sharp.csv
4,0.109679297,0.100214545,0,0,30.416512,airfoil1_sharp.csv
5,0.113042887,0.107372727,0,0,28.72019,airfoil1_sharp.csv
6,0.116315949,0.114530909,0,0,27.116197,airfoil1_sharp.csv
7,0.119491126,0.121689091,0,0,25.600337,airfoil1_sharp.csv
8,0.122561762,0.128847273,0,0,24.168543,airfoil1_sharp.csv
9,0.125521884,0.136005455,0,0,22.816881,airfoil1_sharp.csv
10,0.128366181,0.143163636,0,0,21.541542,airfoil1_sharp.csv
11,0.131089983,0.150321818,0,0,20.338844,airfoil1_sharp.csv
12,0.133689241,0.15748,0,0,19.205227,airfoil1_sharp.csv
13,0.136160501,0.164638182,0,0,18.137254,airfoil1_sharp.csv
14,0.138500889,0.171796364,0,0,17.131604,airfoil1_sharp.csv
15,0.140708089,0.178954545,0,0,16.185076,airfoil1_sharp.csv
16,0.142780317,0.186112727,0,0,15.29458,airfoil1_sharp.csv
17,0.144716306,0.193270909,0,0,14.457143,airfoil1_sharp.csv
18,0.146515281,0.200429091,0,0,13.669899,airfoil1_sharp.csv
19,0.148176939,0.207587273,0,0,12.930091,airfoil1_sharp.csv
20,0.14970143,0.214745455,0,0,12.235069,airfoil1_sharp.csv
21,0.151089332,0.221903636,0,0,11.582286,airfoil1_sharp.csv
22,0.152341633,0.229061818,0,0,10.969297,airfoil1_sharp.csv
23,0.15345971,0.23622,0,0,10.393757,airfoil1_sharp.csv
24,0.154445304,0.243378182,0,0,9.853418,airfoil1_sharp.csv
25,0.155300506,0.250536364,0,0,9.346128,airfoil1_sharp.csv
26,0.156027728,0.257694545,0,0,8.869828,airfoil1_sharp.csv
27,0.156629688,0.264852727,0,0,8.422549,airfoil1_sharp.csv
28,0.157109386,0.272010909,0,0,8.002414,airfoil1_sharp.csv
29,0.157470084,0.279169091,0,0,7.607629,airfoil1_sharp.csv
30,0.157715284,0.286327273,0,0,7.236486,airfoil1_sharp.csv
31,0.157848708,0.293485455,0,0,6.887362,airfoil1_sharp.csv
32,0.157874276,0.300643636,0,0,6.558711,airfoil1_sharp.csv
33,0.157796085,0.307801818,0,0,6.249067,airfoil1_sharp.csv
34,0.154715256,0.357909091,0,0,4.506,airfoil2_sharp.csv
35,0.153968855,0.365067273,0,0,4.304298,airfoil2_sharp.csv
36,0.153160083,0.372225455,0,0,4.11157,airfoil2_sharp.csv
37,0.152293653,0.379383636,0,0,3.927017,airfoil2_sharp.csv
38,0.151374225,0.386541818,0,0,3.749889,airfoil2_sharp.csv
39,0.150406381,0.3937,0,0,3.579492,airfoil2_sharp.csv
40,0.149394609,0.400858182,0,0,3.415182,airfoil2_sharp.csv
41,0.14834328,0.408016364,0,0,3.256363,airfoil2_sharp.csv
42,0.147256624,0.415174545,0,0,3.102483,airfoil2_sharp.csv
43,0.146138713,0.422332727,0,0,2.953038,airfoil2_sharp.csv
44,0.144993438,0.429490909,0,0,2.807562,airfoil2_sharp.csv
45,0.143824489,0.436649091,0,0,2.665631,airfoil2_sharp.csv
46,0.142635332,0.443807273,0,0,2.526858,airfoil2_sharp.csv
47,0.135236791,0.486756364,0,0,1.743023,airfoil3_sharp.csv
48,0.133980113,0.493914545,0,0,1.618209,airfoil3_sharp.csv
49,0.132720415,0.501072727,0,0,1.494547,airfoil3_sharp.csv
50,0.131458209,0.508230909,0,0,1.371892,airfoil3_sharp.csv
51,0.130193578,0.515389091,0,0,1.250113,airfoil3_sharp.csv
52,0.128926147,0.522547273,0,0,1.129095,airfoil3_sharp.csv
53,0.127655066,0.529705455,0,0,1.008732,airfoil3_sharp.csv
54,0.126378992,0.536863636,0,0,0.88893,airfoil3_sharp.csv
55,0.125096059,0.544021818,0,0,0.769603,airfoil3_sharp.csv
56,0.123803866,0.55118,0,0,0.650667,airfoil3_sharp.csv
57,0.122499452,0.558338182,0,0,0.532046,airfoil3_sharp.csv
58,0.121179273,0.565496364,0,0,0.41366,airfoil3_sharp.csv
59,0.119839185,0.572654545,0,0,0.295432,airfoil3_sharp.csv
60,0.118474422,0.579812727,0,0,0.177279,airfoil3_sharp.csv
61,0.117079571,0.586970909,0,0,0.059115,airfoil3_sharp.csv
62,0.115648557,0.594129091,0,0,-0.059155,airfoil3_sharp.csv
63,0.114174617,0.601287273,0,0,-0.177635,airfoil3_sharp.csv
64,0.112650281,0.608445455,0,0,-0.296442,airfoil3_sharp.csv
65,0.111067352,0.615603636,0,0,-0.415705,airfoil3_sharp.csv
66,0.109416883,0.622761818,0,0,-0.535571,airfoil3_sharp.csv
67,0.107689156,0.62992,0,0,-0.656203,airfoil3_sharp.csv
68,0.105873663,0.637078182,0,0,-0.777787,airfoil3_sharp.csv
69,0.103959081,0.644236364,0,0,-0.900529,airfoil3_sharp.csv
70,0.101933257,0.651394545,0,0,-1.024662,airfoil3_sharp.csv
71,0.099783181,0.658552727,0,0,-1.150444,airfoil3_sharp.csv
72,0.097494968,0.665710909,0,0,-1.278162,airfoil3_sharp.csv
73,0.095053836,0.672869091,0,0,-1.408135,airfoil3_sharp.csv
74,0.092444086,0.680027273,0,0,-1.540715,airfoil3_sharp.csv
75,0.08964908,0.687185455,0,0,-1.676289,airfoil3_sharp.csv
76,0.086651218,0.694343636,0,0,-1.815282,airfoil3_sharp.csv
77,0.083431923,0.701501818,0,0,-1.958157,airfoil3_sharp.csv
78,0.079971613,0.70866,0,0,-2.105421,airfoil3_sharp.csv
79,0.076249684,0.715818182,0,0,-2.257625,airfoil3_sharp.csv
80,0.072244487,0.722976364,0,0,-2.415363,airfoil3_sharp.csv
81,0.067933309,0.730134545,0,0,-2.579281,airfoil3_sharp.csv
82,0.06329235,0.737292727,0,0,-2.750073,airfoil3_sharp.csv
83,0.058296703,0.744450909,0,0,-2.928486,airfoil3_sharp.csv
84,0.052920332,0.751609091,0,0,-3.115322,airfoil3_sharp.csv
85,0.047136053,0.758767273,0,0,-3.31144,airfoil3_sharp.csv
86,0.04091551,0.765925455,0,0,-3.517757,airfoil3_sharp.csv
87,0.034229156,0.773083636,0,0,-3.735252,airfoil3_sharp.csv
88,0.027046232,0.780241818,0,0,-3.964966,airfoil3_sharp.csv
89,0.019334744,0.7874,0,0,-4.208008,airfoil3_sharp.csv
